0,00:04:56:20:66:90
1,00:04:56:23:78:73
2,00:04:56:23:78:85
3,00:04:56:23:78:97
4,00:04:56:23:78:9D
5,00:04:56:23:78:B8
6,00:04:56:23:78:CD
7,00:04:56:23:78:D0
8,00:04:56:23:78:F7
9,00:04:56:23:78:FA
10,00:04:56:23:79:00
11,00:04:56:23:79:03
12,00:04:56:23:79:24
13,00:04:56:23:79:60
14,00:04:56:23:79:6F
15,00:04:56:23:79:78
16,00:04:56:23:79:B4
17,00:04:56:23:79:C6
18,00:04:56:23:79:CF
19,00:04:56:23:79:D5
20,00:04:56:23:7A:0B
21,00:04:56:23:7A:20
22,00:04:56:23:7A:95
23,00:04:56:23:7A:B0
24,00:04:56:23:7A:DA
25,00:04:56:23:7A:E0
26,00:04:56:23:7A:EC
27,00:04:56:23:7B:01
28,00:04:56:23:7B:04
29,00:04:56:23:7B:07
30,00:04:56:23:7B:19
31,00:04:56:23:7B:22
32,00:04:56:23:7B:67
33,00:04:56:23:7B:76
34,00:04:56:23:7B:79
35,00:04:56:23:7B:7C
36,00:04:56:23:7B:97
37,00:04:56:23:7B:AC
38,00:04:56:23:7B:AF
39,00:04:56:23:7B:CA
40,00:04:56:23:7B:DF
41,00:04:56:23:7C:06
42,00:04:56:23:7C:09
43,00:04:56:23:7C:1E
44,00:04:56:23:7C:27
45,00:04:56:23:7C:2D
46,00:04:56:23:7C:30
47,00:04:56:23:7C:33
48,00:04:56:23:7C:3C
49,00:04:56:23:7C:3F
50,00:04:56:23:7C:42
51,00:04:56:23:7C:48
52,00:04:56:23:7C:54
53,00:04:56:23:7C:57
54,00:04:56:23:7C:5A
55,00:04:56:23:7C:63
56,00:04:56:23:7C:6C
57,00:04:56:23:7C:72
58,00:04:56:23:7C:78
59,00:04:56:23:7C:81
60,00:04:56:23:7C:B7
61,00:04:56:23:7C:BA
62,00:04:56:23:7C:BD
63,00:04:56:23:7C:F0
64,00:04:56:23:7D:0B
65,00:04:56:23:7D:53
66,00:04:56:23:7D:59
67,00:04:56:23:7D:5F
68,00:04:56:23:7D:7A
69,00:04:56:23:7D:A4
70,00:04:56:23:7D:AA
71,00:04:56:23:7D:B9
72,00:04:56:23:7D:E0
73,00:04:56:23:7D:F2
74,00:04:56:23:7E:01
75,00:04:56:23:7E:10
76,00:04:56:23:7E:19
77,00:04:56:23:7E:2E
78,00:04:56:23:7E:31
79,00:04:56:23:7E:34
80,00:04:56:23:7E:49
81,00:04:56:23:7E:4C
82,00:04:56:23:7E:5E
83,00:04:56:23:7E:A0
84,00:04:56:23:7E:A6
85,00:04:56:23:7E:C1
86,00:04:56:28:5A:6E
87,00:04:56:28:FD:08
88,00:04:56:60:17:54
89,00:04:56:60:1C:40
90,00:04:56:60:30:B2
91,00:04:56:E0:40:1A
92,00:04:56:E0:43:EA
93,00:04:56:E0:5B:2E
94,00:04:56:E0:85:E8
95,00:04:56:E0:89:9A
96,00:04:56:E0:90:16
97,00:04:56:E0:93:8C
98,00:04:56:E0:93:8E
99,00:04:56:E0:93:9A
100,00:04:56:E0:99:26
101,00:04:56:E0:99:30
102,00:04:56:E0:9A:62
103,00:04:56:E0:9B:EC
104,00:04:56:E0:9D:16
105,00:04:56:E0:A9:DE
106,00:04:56:E1:CB:10
107,00:04:56:E1:D6:16
108,00:04:56:E2:9B:1E
109,00:04:56:E2:B0:70
110,00:04:56:E2:B2:F2
111,00:04:56:E2:BC:D2
112,00:04:56:E2:C0:90
113,00:04:56:E2:C1:D0
114,00:04:56:E2:C2:BE
115,00:04:56:E2:C2:FE
116,00:04:56:E2:C3:0C
117,00:04:56:E2:C3:2A
118,00:04:56:E2:C5:50
